"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","MACRO.OM.AREA.g.m2","MACRO.ASH.AREA.g.m2"
"LTREB","44103","BG","5","COBBLE","12.25",NA,NA
"LTREB","44124","WS","1","COBBLE","17.25",NA,NA
"LTREB","44124","WS","2","COBBLE","26.75",NA,NA
"LTREB","44124","WS","3","COBBLE","17",NA,NA
"LTREB","44124","WS","4","COBBLE","18.25",NA,NA
"LTREB","44124","WS","5","COBBLE","13.625",NA,NA
"LTREB","44124","CR","1","COBBLE","27.75",NA,NA
"LTREB","44124","CR","2","COBBLE","24.75",NA,NA
"LTREB","44124","CR","3","COBBLE","30.5",NA,NA
"LTREB","44124","CR","4","COBBLE","26.625",NA,NA
"LTREB","44124","CR","5","COBBLE","28.25",NA,NA
"LTREB","44124","GC","2","COBBLE","25",NA,NA
"LTREB","44124","GC","3","COBBLE","40",NA,NA
"LTREB","44124","GC","4","COBBLE","30",NA,NA
"LTREB","44124","GC","5","COBBLE","35",NA,NA
"LTREB","44124","BG","1","COBBLE","30",NA,NA
"LTREB","44124","BG","2","COBBLE","45",NA,NA
"LTREB","44124","BG","3","COBBLE","40",NA,NA
"LTREB","44124","BG","4","COBBLE","20",NA,NA
"LTREB","44124","BG","5","COBBLE","40",NA,NA
"LTREB","44124","BN","1","COBBLE","13",NA,NA
"LTREB","44124","BN","2","COBBLE","15",NA,NA
"LTREB","44124","BN","3","COBBLE","25",NA,NA
"LTREB","44124","BN","4","COBBLE","30",NA,NA
"LTREB","44124","BN","5","COBBLE","40",NA,NA
"LTREB","44369","WS","1","COBBLE","25.25",NA,NA
"LTREB","44369","WS","2","COBBLE","32.75",NA,NA
"LTREB","44369","WS","3","COBBLE","29.25",NA,NA
"LTREB","44369","WS","4","COBBLE","32.625",NA,NA
"LTREB","44369","WS","5","COBBLE","14.5",NA,NA
"LTREB","44369","DL","1","COBBLE","14.625",NA,NA
"LTREB","44369","DL","2","COBBLE","17",NA,NA
"LTREB","44369","DL","3","COBBLE","24.375",NA,NA
"LTREB","44369","DL","4","COBBLE","16.75",NA,NA
"LTREB","44369","DL","5","COBBLE","17",NA,NA
"LTREB","44369","GR","1","COBBLE","22.25",NA,NA
"LTREB","44369","GR","2","COBBLE","33",NA,NA
"LTREB","44369","GR","3","COBBLE","31.5",NA,NA
"LTREB","44369","GR","4","COBBLE","18.25",NA,NA
"LTREB","44369","GR","5","COBBLE","36.25",NA,NA
"LTREB","44369","GC","1","COBBLE","13.875",NA,NA
"LTREB","44369","GC","4","COBBLE","9",NA,NA
"LTREB","44369","GC","5","COBBLE","14.25",NA,NA
"LTREB","44369","BG","1","COBBLE","14.25",NA,NA
